Area_Code,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,yield
4,1990,591,26156,17.67,18947
4,1991,591,26156,17.64,18972
4,1991,591,26156,17.86,18972
4,1992,591,26156,17.09,21809
4,1992,591,26156,17.51,21809
4,1993,591,26156,17.32,23272
4,1993,591,26156,17.53,23272
4,1994,591,30195,18.17,20237
4,1994,591,30195,18.31,20237
4,1995,591,37842,17.74,21675
4,1995,591,37842,17.62,21675
4,1996,591,54595,17.64,19344
4,1996,591,54595,17.97,19344
4,1997,591,77691,18.29,22426
4,1997,591,77691,18.54,22426
4,1998,591,62397,17.23,26088
4,1998,591,62397,17.52,26088
4,1999,591,62831.39,17.15,23028
4,1999,591,62831.39,17.71,23028
4,2000,591,63265.78,16.98,24873
4,2000,591,63265.78,17.66,24873
4,2001,591,63700.17,17.71,24934
4,2001,591,63700.17,18.42,24934
4,2002,591,64134.56,17.58,22398
4,2002,591,64134.56,18.07,22398
4,2004,591,65003.34,17.67,25441
4,2004,591,65003.34,18.11,25441
4,2005,591,65437.73,17.32,26356
4,2005,591,65437.73,17.83,26356
4,2006,591,65872.12,18.1,25302
4,2006,591,65872.12,18.35,25302
4,2007,591,81582.64,16.71,26234
4,2007,591,81582.64,17.14,26234
4,2008,591,87149.01,17.71,28271
4,2008,591,87149.01,18.39,28271
4,2009,591,61586.56,18.16,19628
4,2009,591,61586.56,18.09,19628
4,2010,591,105915.04,17.33,27113
4,2010,591,105915.04,17.84,27113
4,2011,591,100424.62,17.58,35063
4,2011,591,100424.62,17.93,35063
4,2012,591,136185.08,18.18,32199
4,2012,591,136185.08,18.43,32199
4,2013,591,171945.54,16.45,26581
4,2013,591,171945.54,16.88,26581
5,1992,562,8,7.44,21600
5,1993,562,8,7.69,22257
5,1994,562,23,8.84,17842
5,1995,562,23.9,9.76,25480
5,1996,562,32,9.55,23569
5,1997,562,41.46,9.1,17009
5,1998,562,50.92,10.28,20651
5,1999,562,60.38,10.11,19466
5,2000,562,69.85,9.68,16679
5,2001,562,79.31,10.18,22263
5,2002,562,88.77,9.41,23877
5,2004,562,204.77,9.55,23416
5,2005,562,220.51,9.58,20252
5,2006,562,227.55,9.89,14627
5,2007,562,241.71,9.44,25837
5,2008,562,218.2,9.51,24322
5,2009,562,198.36,9.67,22374
5,2010,562,278.72,11.31,21192
5,2011,562,278.72,8.93,28800
5,2012,562,278.72,10.2,26010
5,2013,562,278.72,11.08,31273
6,1990,534,17866,16.8,16344
6,1990,534,17866,20.06,16344
6,1990,534,17866,12.11,16344
6,1990,534,17866,14.16,16344
6,1990,534,17866,18.05,16344
6,1990,534,17866,17.47,16344
6,1991,534,17866,16.78,14698
6,1991,534,17866,20.29,14698
6,1991,534,17866,12.22,14698
6,1991,534,17866,13.77,14698
6,1991,534,17866,18.73,14698
6,1991,534,17866,17.85,14698
6,1992,534,22234,15.78,17812
6,1992,534,22234,19.79,17812
6,1992,534,22234,11.21,17812
6,1992,534,22234,13.31,17812
6,1992,534,22234,18.45,17812
6,1992,534,22234,16.89,17812
6,1993,534,23899,16.71,19658
6,1993,534,23899,20.19,19658
6,1993,534,23899,11.84,19658
6,1993,534,23899,13.81,19658
6,1993,534,23899,18.03,19658
6,1993,534,23899,17.42,19658
6,1994,534,21057,16.43,11356
6,1994,534,21057,19.59,11356
6,1994,534,21057,11.6,11356
6,1994,534,21057,13.52,11356
6,1994,534,21057,19.17,11356
6,1994,534,21057,17.36,11356
6,1995,534,25598,16.14,17899
6,1995,534,25598,20.12,17899
6,1995,534,25598,11.39,17899
6,1995,534,25598,13.14,17899
6,1995,534,25598,18.88,17899
6,1995,534,25598,16.95,17899
6,1996,534,31185,16.12,21673
6,1996,534,31185,20.06,21673
6,1996,534,31185,11.29,21673
6,1996,534,31185,13.05,21673
6,1996,534,31185,19.13,21673
6,1996,534,31185,17.05,21673
6,1997,534,34091,16.48,18412
6,1997,534,34091,20.16,18412
6,1997,534,34091,12.13,18412
6,1997,534,34091,13.93,18412
6,1997,534,34091,18.94,18412
6,1997,534,34091,17.51,18412
6,1998,534,37215,16.28,19153
6,1998,534,37215,20.62,19153
6,1998,534,37215,12.46,19153
6,1998,534,37215,13.61,19153
6,1998,534,37215,18.9,19153
6,1998,534,37215,18.05,19153
6,1999,534,34200,16.77,20066
6,1999,534,34200,19.75,20066
6,1999,534,34200,12.1,20066
6,1999,534,34200,14.2,20066
6,1999,534,34200,19.28,20066
6,1999,534,34200,17.55,20066
6,2000,534,33475,17.08,18209
6,2000,534,33475,19.89,18209
6,2000,534,33475,12.09,18209
6,2000,534,33475,14.32,18209
6,2000,534,33475,19.07,18209
6,2000,534,33475,17.57,18209
6,2001,534,32710,16.63,18209
6,2001,534,32710,20.21,18209
6,2001,534,32710,12.29,18209
6,2001,534,32710,14.18,18209
6,2001,534,32710,18.39,18209
6,2001,534,32710,17.85,18209
6,2002,534,26651,16.63,21076
6,2002,534,26651,20.38,21076
6,2002,534,26651,12.31,21076
6,2002,534,26651,14.08,21076
6,2002,534,26651,18.93,21076
6,2002,534,26651,17.73,21076
6,2004,534,36276,16.64,19998
6,2004,534,36276,20.42,19998
6,2004,534,36276,12.35,19998
6,2004,534,36276,13.74,19998
6,2004,534,36276,18.87,19998
6,2004,534,36276,17.87,19998
6,2005,534,34310,16.93,16348
6,2005,534,34310,20.71,16348
6,2005,534,34310,12.48,16348
6,2005,534,34310,14.38,16348
6,2005,534,34310,18.26,16348
6,2005,534,34310,18.03,16348
6,2006,534,35900,16.75,20213
6,2006,534,35900,20.17,20213
6,2006,534,35900,12.51,20213
6,2006,534,35900,13.99,20213
6,2006,534,35900,18.99,20213
6,2006,534,35900,17.75,20213
6,2007,534,32446.25,17.49,9173
6,2007,534,32446.25,20.31,9173
6,2007,534,32446.25,12.83,9173
6,2007,534,32446.25,14.99,9173
6,2007,534,32446.25,18.84,9173
6,2007,534,32446.25,18.02,9173
6,2008,534,42935.38,16.7,10788
6,2008,534,42935.38,19.79,10788
6,2008,534,42935.38,12,10788
6,2008,534,42935.38,14.11,10788
6,2008,534,42935.38,18.78,10788
6,2008,534,42935.38,17.32,10788
6,2009,534,38065.68,17.39,15831
6,2009,534,38065.68,20.65,15831
6,2009,534,38065.68,12.87,15831
6,2009,534,38065.68,14.65,15831
6,2009,534,38065.68,19.01,15831
6,2009,534,38065.68,18.18,15831
6,2010,534,42169.39,16.72,15729
6,2010,534,42169.39,20.33,15729
6,2010,534,42169.39,12.37,15729
6,2010,534,42169.39,14.23,15729
6,2010,534,42169.39,19.09,15729
6,2010,534,42169.39,18,15729
6,2011,534,47632.99,16.9,20301
6,2011,534,47632.99,19.88,20301
6,2011,534,47632.99,12.16,20301
6,2011,534,47632.99,14.19,20301
6,2011,534,47632.99,19.99,20301
6,2011,534,47632.99,17.71,20301
6,2012,534,48687.88,16.84,21511
6,2012,534,48687.88,20.08,21511
6,2012,534,48687.88,11.79,21511
6,2012,534,48687.88,14.27,21511
6,2012,534,48687.88,19.55,21511
6,2012,534,48687.88,17.47,21511
6,2013,534,45177.18,17.39,17609
6,2013,534,45177.18,20.14,17609
6,2013,534,45177.18,12.19,17609
6,2013,534,45177.18,14.74,17609
6,2013,534,45177.18,19.98,17609
6,2013,534,45177.18,18.09,17609
7,1990,1110,4246,9.23,50479
7,1991,1110,4487,8.15,50735
7,1992,1110,3897,9.49,53938
7,1993,1110,3984,8.48,42246
7,1994,1110,3619,9.89,52088
7,1995,1110,3402,8.79,50856
7,1996,1110,3565,7.4,50069
7,1997,1110,3689.6,8.37,52044
7,1998,1110,3340.3,9.01,50749
7,1999,1110,3418.6,9.17,54348
7,2000,1110,3563.2,10.08,44688
7,2001,1110,3132.2,8.75,52412
7,2002,1110,3079.2,9.62,49667
7,2004,1110,3301.7,8.76,59234
7,2005,1110,3404,8.6,50286
7,2006,1110,3415.7,9.13,49066
7,2007,1110,3526.6,10.03,47763
7,2008,1110,4246.7,9.96,56935
7,2009,1110,3531.8,9.48,49295
7,2010,1110,3692.4,8.36,50117
7,2011,1110,3441.5,9.42,58549
7,2012,1110,3563.3,9.42,41388
7,2013,1110,3108.6,10.03,53743
8,1992,447,148.68,10.93,21705
8,1993,447,148.68,10.53,16855
8,1994,447,148.68,11.32,16296
8,1995,447,148.68,12.81,14940
8,1996,447,148.68,11.96,16627
8,1997,447,148.68,11.89,16914
8,1998,447,148.68,12.79,15764
8,1999,447,148.68,12.74,19992
8,2000,447,148.68,12.61,23223
8,2001,447,148.68,12.97,26154
8,2002,447,148.68,12.45,26028
8,2004,447,148.68,12.76,25748
8,2005,447,148.68,12.88,25818
8,2006,447,148.68,12.66,26050
8,2007,447,148.68,12.75,26722
8,2008,447,262.99,12.3,27251
8,2009,447,316.18,12.6,25946
8,2010,447,333.85,13.85,19381
8,2011,447,461.84,11.79,24376
8,2012,447,516.35,13,26144
8,2013,447,489.8,14.12,26719
11,1990,2666,1266,25.98,15034
11,1990,2666,1266,25.98,15034
11,1991,2666,1287,25.85,16767
11,1991,2666,1287,25.85,16767
11,1992,2666,1453,25.86,18534
11,1992,2666,1453,25.86,18534
11,1993,2666,1487,25.73,18457
11,1993,2666,1487,25.73,18457
11,1994,2666,1594.5,25.91,18390
11,1994,2666,1594.5,25.91,18390
11,1995,2666,1702,26.09,19483
11,1995,2666,1702,26.09,19483
11,1996,2666,1919,26.15,19531
11,1996,2666,1919,26.15,19531
11,1997,2666,2035,25.55,20544
11,1997,2666,2035,25.55,20544
11,1998,2666,2068,26.13,22408
11,1998,2666,2068,26.13,22408
11,1999,2666,2532,26.31,21627
11,1999,2666,2532,26.31,21627
11,2000,2666,3170,25.91,22104
11,2000,2666,3170,25.91,22104
11,2001,2666,3295.78,25.93,21643
11,2001,2666,3295.78,25.93,21643
11,2002,2666,2954.29,26.1,21644
11,2002,2666,2954.29,26.1,21644
11,2004,2666,5587.81,26.14,19527
11,2004,2666,5587.81,26.14,19527
11,2005,2666,7605.01,26.19,17478
11,2005,2666,7605.01,26.19,17478
11,2006,2666,9074.43,26.44,15344
11,2006,2666,9074.43,26.44,15344
11,2007,2666,10962.31,25.95,18471
11,2007,2666,10962.31,25.95,18471
11,2008,2666,12936.5,26,21753
11,2008,2666,12936.5,26,21753
11,2009,2666,13790.09,26.54,21516
11,2009,2666,13790.09,26.54,21516
11,2010,2666,13283.72,26.65,23959
11,2010,2666,13283.72,26.65,23959
11,2011,2666,14798.28,25.8,26012
11,2011,2666,14798.28,25.8,26012
11,2012,2666,13289.18,26.28,27789
11,2012,2666,13289.18,26.28,27789
11,2013,2666,15330.16,26.59,30138
11,2013,2666,15330.16,26.59,30138
12,1992,618,8306.31,6.74,27983
12,1993,618,8306.31,5.61,26826
12,1994,618,8306.31,6.26,22802
12,1995,618,8306.31,6.68,24791
12,1996,618,8306.31,5.32,21989
12,1997,618,8306.31,5.98,25132
12,1998,618,8306.31,6.11,21347
12,1999,618,8306.31,7.38,17322
12,2000,618,8306.31,7.52,21367
12,2001,618,8306.31,6.71,21255
12,2002,618,8306.31,7.34,26919
12,2004,618,8306.31,6.49,33040
12,2005,618,8306.31,6.53,32812
12,2006,618,8306.31,6.6,28191
12,2007,618,8306.31,7.51,32771
12,2008,618,8306.31,7.75,39752
12,2009,618,8306.31,6.75,35428
12,2010,618,8306.31,6.71,28851
12,2011,618,8306.31,7.29,33088
12,2012,618,9578.67,6.33,35822
12,2013,618,9163.51,7.83,30610
13,2000,847,9560.49,11.37,79198
13,2001,847,8529.07,10.94,80475
13,2002,847,9204,11.44,82757
13,2004,847,9186,10.94,89806
13,2005,847,9776,11.16,82733
13,2006,847,8244.02,11.48,82549
13,2007,847,6712.05,11.52,78908
13,2008,847,6516.47,10.9,87585
13,2009,847,5496.04,11,94652
13,2010,847,4644.53,9.74,88272
13,2011,847,5740.44,11.69,84046
13,2012,847,6139.3,10.68,84522
13,2013,847,5905.6,10.36,89349
14,1990,416,17,19.54,26178
14,1991,416,19,19.29,22464
14,1992,416,17,20.59,21653
14,1993,416,17,19.97,20843
14,1994,416,17,19.26,20032
14,1995,416,17,19.96,19222
14,1996,416,17,19.1,19009
14,1997,416,17,19.26,17235
14,1998,416,17,20.05,16667
14,1999,416,17,20.24,16337
14,2000,416,17,18.97,15878
14,2001,416,17,19.36,15714
14,2002,416,17,19.89,14563
14,2004,416,17,19.41,12692
14,2005,416,17,20.42,11614
14,2006,416,17,18.97,10452
14,2007,416,17,19.71,9000
14,2008,416,17,19.63,8000
15,1990,1761,49695,21.88,11540
15,1990,1761,49695,20.29,11540
15,1990,1761,49695,17.77,11540
15,1990,1761,49695,17.77,11540
15,1990,1761,49695,27.65,11540
15,1990,1761,49695,20.29,11540
15,1990,1761,49695,27.07,11540
15,1990,1761,49695,18.47,11540
15,1990,1761,49695,25.76,11540
15,1990,1761,49695,24.64,11540
15,1990,1761,49695,25.29,11540
15,1991,1761,58349.44,21.43,14232
15,1991,1761,58349.44,20.13,14232
15,1991,1761,58349.44,17.95,14232
15,1991,1761,58349.44,17.95,14232
15,1991,1761,58349.44,27.34,14232
15,1991,1761,58349.44,20.13,14232
15,1991,1761,58349.44,27.21,14232
15,1991,1761,58349.44,19.11,14232
15,1991,1761,58349.44,25.57,14232
15,1991,1761,58349.44,24.25,14232
15,1991,1761,58349.44,25.06,14232
15,1992,1761,67003.89,21.35,14295
15,1992,1761,67003.89,20.21,14295
15,1992,1761,67003.89,17.8,14295
15,1992,1761,67003.89,17.8,14295
15,1992,1761,67003.89,27.58,14295
15,1992,1761,67003.89,20.21,14295
15,1992,1761,67003.89,27.42,14295
15,1992,1761,67003.89,18.72,14295
15,1992,1761,67003.89,25.61,14295
15,1992,1761,67003.89,24.24,14295
15,1992,1761,67003.89,24.97,14295
15,1993,1761,75658.33,21.94,14825
15,1993,1761,75658.33,20.49,14825
15,1993,1761,75658.33,17.93,14825
15,1993,1761,75658.33,17.93,14825
15,1993,1761,75658.33,28.18,14825
15,1993,1761,75658.33,20.49,14825
15,1993,1761,75658.33,26.89,14825
15,1993,1761,75658.33,18.69,14825
15,1993,1761,75658.33,26.06,14825
15,1993,1761,75658.33,24.65,14825
15,1993,1761,75658.33,25.41,14825
15,1994,1761,84312.78,21.91,15541
15,1994,1761,84312.78,20.77,15541
15,1994,1761,84312.78,18.42,15541
15,1994,1761,84312.78,18.42,15541
15,1994,1761,84312.78,27.53,15541
15,1994,1761,84312.78,20.77,15541
15,1994,1761,84312.78,26.9,15541
15,1994,1761,84312.78,19.15,15541
15,1994,1761,84312.78,26.05,15541
15,1994,1761,84312.78,24.71,15541
15,1994,1761,84312.78,25.42,15541
15,1995,1761,92967.22,22.07,15420
15,1995,1761,92967.22,20.61,15420
15,1995,1761,92967.22,18.27,15420
15,1995,1761,92967.22,18.27,15420
15,1995,1761,92967.22,27.52,15420
15,1995,1761,92967.22,20.61,15420
15,1995,1761,92967.22,27.34,15420
15,1995,1761,92967.22,18.89,15420
15,1995,1761,92967.22,26.05,15420
15,1995,1761,92967.22,24.77,15420
15,1995,1761,92967.22,25.65,15420
15,1996,1761,101621.67,21.56,18334
15,1996,1761,101621.67,20.18,18334
15,1996,1761,101621.67,17.83,18334
15,1996,1761,101621.67,17.83,18334
15,1996,1761,101621.67,27.6,18334
15,1996,1761,101621.67,20.18,18334
15,1996,1761,101621.67,27.07,18334
15,1996,1761,101621.67,18.63,18334
15,1996,1761,101621.67,25.94,18334
15,1996,1761,101621.67,24.28,18334
15,1996,1761,101621.67,25.45,18334
15,1997,1761,110276.11,21.91,16359
15,1997,1761,110276.11,20.77,16359
15,1997,1761,110276.11,18.36,16359
15,1997,1761,110276.11,18.36,16359
15,1997,1761,110276.11,27.85,16359
15,1997,1761,110276.11,20.77,16359
15,1997,1761,110276.11,27.57,16359
15,1997,1761,110276.11,19.12,16359
15,1997,1761,110276.11,25.96,16359
15,1997,1761,110276.11,24.71,16359
15,1997,1761,110276.11,25.2,16359
15,1998,1761,118930.56,22.35,16111
15,1998,1761,118930.56,20.71,16111
15,1998,1761,118930.56,18.2,16111
15,1998,1761,118930.56,18.2,16111
15,1998,1761,118930.56,28.76,16111
15,1998,1761,118930.56,20.71,16111
15,1998,1761,118930.56,27.54,16111
15,1998,1761,118930.56,18.49,16111
15,1998,1761,118930.56,26.63,16111
15,1998,1761,118930.56,24.78,16111
15,1998,1761,118930.56,26.08,16111
15,1999,1761,127585,21.59,19699
15,1999,1761,127585,20.04,19699
15,1999,1761,127585,17.66,19699
15,1999,1761,127585,17.66,19699
15,1999,1761,127585,27.64,19699
15,1999,1761,127585,20.04,19699
15,1999,1761,127585,26.66,19699
15,1999,1761,127585,18.39,19699
15,1999,1761,127585,25.88,19699
15,1999,1761,127585,24.01,19699
15,1999,1761,127585,25.32,19699
15,2000,1761,140423,21.69,15156
15,2000,1761,140423,20.32,15156
15,2000,1761,140423,18.01,15156
15,2000,1761,140423,18.01,15156
15,2000,1761,140423,27.5,15156
15,2000,1761,140423,20.32,15156
15,2000,1761,140423,26.82,15156
15,2000,1761,140423,18.65,15156
15,2000,1761,140423,25.71,15156
15,2000,1761,140423,24.36,15156
15,2000,1761,140423,25.35,15156
15,2001,1761,151523,22.14,19488
15,2001,1761,151523,20.96,19488
15,2001,1761,151523,18.67,19488
15,2001,1761,151523,18.67,19488
15,2001,1761,151523,27.69,19488
15,2001,1761,151523,20.96,19488
15,2001,1761,151523,27.08,19488
15,2001,1761,151523,19.73,19488
15,2001,1761,151523,26.08,19488
15,2001,1761,151523,24.99,19488
15,2001,1761,151523,25.59,19488
15,2002,1761,145552,22.5,14754
15,2002,1761,145552,21.3,14754
15,2002,1761,145552,19.09,14754
15,2002,1761,145552,19.09,14754
15,2002,1761,145552,27.85,14754
15,2002,1761,145552,21.3,14754
15,2002,1761,145552,27.27,14754
15,2002,1761,145552,19.49,14754
15,2002,1761,145552,26.01,14754
15,2002,1761,145552,25.18,14754
15,2002,1761,145552,25.56,14754
15,2004,1761,214725,21.59,20728
15,2004,1761,214725,20.05,20728
15,2004,1761,214725,17.88,20728
15,2004,1761,214725,17.88,20728
15,2004,1761,214725,27.72,20728
15,2004,1761,214725,20.05,20728
15,2004,1761,214725,27.24,20728
15,2004,1761,214725,18.75,20728
15,2004,1761,214725,25.94,20728
15,2004,1761,214725,24.24,20728
15,2004,1761,214725,25.37,20728
15,2005,1761,232232,22.05,19735
15,2005,1761,232232,20.78,19735
15,2005,1761,232232,18.53,19735
15,2005,1761,232232,18.53,19735
15,2005,1761,232232,28.17,19735
15,2005,1761,232232,20.78,19735
15,2005,1761,232232,27.6,19735
15,2005,1761,232232,19.42,19735
15,2005,1761,232232,26.27,19735
15,2005,1761,232232,24.79,19735
15,2005,1761,232232,25.7,19735
15,2006,1761,238716,21.82,15927
15,2006,1761,238716,20.6,15927
15,2006,1761,238716,18.47,15927
15,2006,1761,238716,18.47,15927
15,2006,1761,238716,27.76,15927
15,2006,1761,238716,20.6,15927
15,2006,1761,238716,27.34,15927
15,2006,1761,238716,19.35,15927
15,2006,1761,238716,26.26,15927
15,2006,1761,238716,24.57,15927
15,2006,1761,238716,25.41,15927
15,2007,1761,304031,22.19,22199
15,2007,1761,304031,20.93,22199
15,2007,1761,304031,18.66,22199
15,2007,1761,304031,18.66,22199
15,2007,1761,304031,27.92,22199
15,2007,1761,304031,20.93,22199
15,2007,1761,304031,27.32,22199
15,2007,1761,304031,19.05,22199
15,2007,1761,304031,25.95,22199
15,2007,1761,304031,24.78,22199
15,2007,1761,304031,25.44,22199
15,2008,1761,312637,21.86,25497
15,2008,1761,312637,20.22,25497
15,2008,1761,312637,17.88,25497
15,2008,1761,312637,17.88,25497
15,2008,1761,312637,27.54,25497
15,2008,1761,312637,20.22,25497
15,2008,1761,312637,26.94,25497
15,2008,1761,312637,18.8,25497
15,2008,1761,312637,25.96,25497
15,2008,1761,312637,24.26,25497
15,2008,1761,312637,25.54,25497
15,2009,1761,335742,22.25,20802
15,2009,1761,335742,20.78,20802
15,2009,1761,335742,18.38,20802
15,2009,1761,335742,18.38,20802
15,2009,1761,335742,27.39,20802
15,2009,1761,335742,20.78,20802
15,2009,1761,335742,27.39,20802
15,2009,1761,335742,18.84,20802
15,2009,1761,335742,26.3,20802
15,2009,1761,335742,24.98,20802
15,2009,1761,335742,26,20802
15,2010,1761,342580,22.12,28288
15,2010,1761,342580,20.72,28288
15,2010,1761,342580,18.18,28288
15,2010,1761,342580,18.18,28288
15,2010,1761,342580,28.18,28288
15,2010,1761,342580,20.72,28288
15,2010,1761,342580,27.56,28288
15,2010,1761,342580,19.01,28288
15,2010,1761,342580,26.3,28288
15,2010,1761,342580,24.95,28288
15,2010,1761,342580,25.78,28288
15,2011,1761,345026,21.74,26602
15,2011,1761,345026,20.33,26602
15,2011,1761,345026,18.01,26602
15,2011,1761,345026,18.01,26602
15,2011,1761,345026,27.36,26602
15,2011,1761,345026,20.33,26602
15,2011,1761,345026,27.29,26602
15,2011,1761,345026,18.82,26602
15,2011,1761,345026,25.89,26602
15,2011,1761,345026,24.32,26602
15,2011,1761,345026,25.28,26602
15,2012,1761,346583,22.16,23100
15,2012,1761,346583,21.02,23100
15,2012,1761,346583,18.8,23100
15,2012,1761,346583,18.8,23100
15,2012,1761,346583,28.21,23100
15,2012,1761,346583,21.02,23100
15,2012,1761,346583,27.34,23100
15,2012,1761,346583,19.72,23100
15,2012,1761,346583,26.13,23100
15,2012,1761,346583,24.84,23100
15,2012,1761,346583,25.65,23100
15,2013,1761,367778,21.59,27491
15,2013,1761,367778,20.07,27491
15,2013,1761,367778,17.57,27491
15,2013,1761,367778,17.57,27491
15,2013,1761,367778,27.71,27491
15,2013,1761,367778,20.07,27491
15,2013,1761,367778,27.11,27491
15,2013,1761,367778,17.84,27491
15,2013,1761,367778,26.4,27491
15,2013,1761,367778,25.19,27491
15,2013,1761,367778,26.14,27491
10,1990,608,3906,9.51,45514
10,1991,608,3906,8.14,37480
10,1992,608,3906,9.07,31071
10,1993,608,3777.25,9,28580
10,1994,608,3648.5,10.23,28447
10,1995,608,3519.75,8.69,29085
10,1996,608,3391,8.44,18818
10,1997,608,3262.25,8.26,29502
10,1998,608,3133.5,9.16,28058
10,1999,608,3004.75,9.67,27352
10,2000,608,2876,9.9,28421
10,2001,608,2747.25,9.55,30081
10,2002,608,2618.5,9.6,30123
10,2004,608,2361,9.18,38100
10,2005,608,2232.25,8.58,31567
10,2006,608,2103.5,9.08,34026
10,2007,608,1974.75,10.23,21973
10,2008,608,1846,9.9,41674
10,2009,608,1717.25,9.74,31873
10,2010,608,1588.5,9.65,36185
10,2011,608,1459.75,9.17,39197
10,2012,608,1331,9.99,37596
10,2013,608,1197,11.26,41885
16,1990,1274,92.08,21.15,7478
16,1991,1274,92.08,20.97,7333
16,1992,1274,92.08,21.31,7120
16,1993,1274,96.99,21.17,7748
16,1994,1274,84.45,21.25,8824
16,1995,1274,144.2,21.55,7440
16,1996,1274,207.1,21.18,7728
16,1997,1274,117.56,21.51,7742
16,1998,1274,107.29,21.56,8148
16,1999,1274,150.24,21.01,7085
16,2000,1274,109.87,21.32,6774
16,2001,1274,72.56,21.24,8667
16,2002,1274,98.1,21.45,8290
16,2004,1274,508.26,21.71,8326
16,2005,1274,304.83,22.29,7387
16,2006,1274,190.51,21.83,8007
16,2007,1274,412.66,21.28,8407
16,2008,1274,456.44,21.29,8431
16,2009,1274,177.75,21.42,8583
16,2010,1274,264.53,21.75,7393
16,2011,1274,75.64,21.23,7129
16,2012,1274,98.59,21.44,4448
16,2013,1274,956.06,21.53,7276
17,1990,1604,450.01,25.08,15000
17,1991,1604,99.09,24.99,12863
17,1992,1604,1137.56,24.6,12884
17,1993,1604,774.49,24.9,12904
17,1994,1604,411.42,24.93,12937
17,1995,1604,48.35,25.21,13098
17,1996,1604,180.08,25,13333
17,1997,1604,630.12,24.98,13264
17,1998,1604,258.02,25.66,13279
17,1999,1604,653,24.97,13294
17,2000,1604,545,24.88,13309
17,2001,1604,687,25.01,13325
17,2002,1604,815.79,25.26,13340
17,2004,1604,849.48,25.42,13373
17,2005,1604,829.59,25.36,13390
17,2006,1604,950.22,25.39,13408
17,2007,1604,918.88,25.49,13426
17,2008,1604,882.13,25.42,13444
17,2009,1604,813.77,25.54,13463
17,2010,1604,1160.63,25.7,13846
17,2011,1604,1372.47,25.25,13971
17,2012,1604,1372.47,25.18,12308
17,2013,1604,1372.47,25.45,12879
18,1990,537,29568,8.2,22769
18,1990,537,29568,9.48,22769
18,1990,537,29568,6.07,22769
18,1990,537,29568,5.57,22769
18,1990,537,29568,7.41,22769
18,1990,537,29568,7.82,22769
18,1991,537,29477.5,8.13,22559
18,1991,537,29477.5,9.72,22559
18,1991,537,29477.5,5.82,22559
18,1991,537,29477.5,5.46,22559
18,1991,537,29477.5,7.55,22559
18,1991,537,29477.5,7.89,22559
18,1992,537,29387,6.25,21603
18,1992,537,29387,8.05,21603
18,1992,537,29387,4.41,21603
18,1992,537,29387,3.69,21603
18,1992,537,29387,5.79,21603
18,1992,537,29387,8.77,21603
18,1993,537,29296.5,6.48,22027
18,1993,537,29296.5,8.11,22027
18,1993,537,29296.5,4.52,22027
